Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
ICU_06,3.04438723138559,0,1.8655900925561,0,3.01306035298922,8.33890810992149,6.01341012985716,7.8274852453032,0,17.4050628449936,28.0024129592989,0,0,0,0,0,0,12.6565457901622,0,31.5372475723579,0,328.216299827425,0,0.641769618695601,0.810813373143029,447.92041015625
ICU_25,0,0,1.51130921922555,0,0.00883295861662036,12.3721381747377,0.581098860536289,0,0,8.99523463271601,16.768266219429,0,0,2.61556075335407,0,0,0,8.81207734243657,0,20.696060892135,25.4101503390482,132.513450295265,0,0.437596770479102,0.955575378895488,230.2841796875
ICU_26,0,0,0,0,3.65140425131621,0,0,5.0058120318958,0,1.15214011200826,12.9081296070062,0,0,29.2962377801847,0,2.24458607496843,0,1.16536290338073,0,27.211862710448,149.342543248118,407.433054093173,0,0.508189000336095,0.930569603080515,639.4111328125
ICU_27,0,0,6.61225694878832,0,34.5579789574895,16.4862010626796,15.7449240373831,9.32887394065112,0,20.30125758487,37.504492228813,0,0,22.2762241919399,0,0,0,10.2683761603306,0,102.813727929251,31.6981127535577,641.011578110496,0,0.583821730872389,0.855347853444527,948.60400390625
NON_07,0.874499703725366,0,0.539656511393091,0,0,43.5432598106003,0,9.05421773178453,0,0,5.9097546460508,2.44744941962613,5.35713323013902,4.89829956289382,11.4586553711859,0,0,1.51996225765667,0,12.4383989583411,0.912255085486986,20.3228248986162,0.19,0.0737796127794464,1.07788378453074,119.2763671875
NON_19,0,0,1.48181377150149,0,0,14.5226029440398,0,3.23939076635654,0,1.14007703349308,7.82889516195525,0,0,0,5.13296748728064,0,0,3.22486913612408,0,3.45741456561611,4.00804753367241,132.569878631211,0,0.520230648085588,0.942572286797587,176.60595703125
NON_20,1.62509128284042,0.180536299525942,0,0,0,32.6359530977121,0,1.6608517570453,0.24684240478753,0,0.233042435879804,0.370973282657446,0,2.68815296271303,0,0.466942394770221,0,17.1971538693133,12.0792155327053,0,4.30402292002685,5.38202254127272,0.63,-0.00237725249277917,1.09706285117176,79.07080078125
NON_22,0.242942546766634,0,0.282411115708239,0,0,53.8651890836021,0,10.1066846069736,0,2.21112685576987,0,8.11540524566581,0,8.03495522391196,0,5.0741948056156,0,32.069578344833,32.1880274132351,0,5.97844077227731,6.76024320439082,0.59,0.00309813380467699,1.0895946926386,164.92919921875
NON_23,1.58576403165384,0,0,21.3588523144263,0,13.3025164803425,7.65591921125876,9.46894308240161,0,0,12.1766193456037,0,0,7.32009458363304,19.9911807146946,1.34040680780262,0,24.0003033344476,3.87720413034674,6.03182604449162,0.50326022588317,13.5448245367639,0.01,0.209050091999792,1.01916866625038,142.15771484375
NON_26,0.103525171758345,0,0.83039496030461,0.312649142703861,0,8.7668764519956,0,3.76683223931315,0.691930757816903,0,0.102873692124777,0.576155456359982,0,2.98235088558724,2.07454577119991,12.1042895549847,0,5.20141027552946,0,24.9045087024794,10.4190675731321,21.34618311471,0.1,0.107652371737907,1.07976252023827,94.18359375
NON_28,2.82925452833882,0,0.278587114166455,0,0,14.144744169386,27.405335782775,1.64385372148649,0,0,7.41067576157283,2.11870420410284,2.2586729107428,0,54.6864922610127,0,0,26.8040634203657,10.2269382240264,0,0,0.498830245773926,0,0.453904641731166,0.928352529518278,150.30615234375
