"","colnames.toDoBN.counts.","toDoBN.samples.ID","toDoBN.samples.lib.size"
"1","S3456_19","ICU_22",40574271
"2","S3483_5","ICU_10",70834742
"3","S3455_72","ICU_38",37574791
"4","S3469_30","ICU_23",59956136
"5","S3453_16","ICU_19",33624252
"6","S3476_65","ICU_31",44748454
"7","S3454_18","ICU_21",47395954
"8","S3481_157","ICU_51",31183131
"9","S3479_48","ICU_24",20842219
"10","S3465_67","ICU_33",17273950
"11","S3466_64","ICU_30",23208049
"12","S3478_145","ICU_44",57574122
"13","S3459_162","ICU_53",48375420
"14","S3467_141","ICU_41",33295252
"15","S3462_140","ICU_40",34628344
"16","S3484_51","ICU_27",68057916
"17","S3463_4_","ICU_09",48659911
"18","S3464_177","ICU_52",32552266
"19","S3461_176","ICU_56",40814937
"20","S3514a_2a","ICU_74",18098358
"21","S3524_28a","ICU_66",36433146
"22","S3525_11a","ICU_63",27166403
"23","S3528_8a","ICU_59",27170909
"24","S3515a_6a","ICU_57",15461283
"25","S3506_172","ICU_54",29476879
"26","S3507_154","ICU_50",24073049
"27","S3517_152","ICU_48",39952345
"28","S3518_142","ICU_42",16085178
"29","S3522_73","ICU_39",46928039
"30","S3511_70","ICU_36",36510725
"31","S3510_68","ICU_34",30338588
"32","S3509_66","ICU_32",52814650
"33","S3529_62","ICU_28",38437240
"34","S3508_50","ICU_26",33161490
"35","S3532_49","ICU_25",37907809
"36","S3519_8","ICU_12",43641317
"37","S3514_24a","ICU_07",31186553
"38","S3530_22a","ICU_06",32235849
"39","S3527_18a","ICU_05",30057016
"40","S3526_17a","ICU_02",33706596
"41","S3520_20a","ICU_01",46365238
"42","S3504_61","ICU_15",18125527
"43","S5051_12a","ICU_72",58460557
"44","S5047_69","ICU_35",33626953
"45","S5048_9a","ICU_60",36749823
"46","S5054_13a","ICU_62",26347
"47","S5056_63","ICU_29",54488441
"48","S5044_5a","ICU_58",2816187
"49","S5057_14a","ICU_61",33593130
"50","S5052_9","ICU_13",50831
"51","S5058_17","ICU_20",47401038
"52","S5053_7a","ICU_64",37411740
"53","S5046_11","ICU_14",63041448
"54","S5045_15a","ICU_68",73383632
"55","S3471_32","NON_13",35334132
"56","S3473_28","NON_10",18808287
"57","S3460_25","NON_07",52797062
"58","S3470_23","NON_05",28352610
"59","S3457_26","NON_08",40531308
"60","S3477_173","NON_32",25628823
"61","S3475_163","NON_29",37067972
"62","S3482_167","NON_28",33410651
"63","S3468_29","NON_11",45322813
"64","S3472_21","NON_03",34854987
"65","S3474_166","NON_27",25972119
"66","S3458_20","NON_02",24688145
"67","S3480_169","NON_22",21658774
"68","S3501_175","NON_31",25118719
"69","S3512_168","NON_26",29245792
"70","S3503_161","NON_25",24607003
"71","S3521_165","NON_23",53516890
"72","S3502_158","NON_20",21342769
"73","S3513_155","NON_18",21047559
"74","S3505_149","NON_17",24588388
"75","S3523_139","NON_14",39329115
"76","S3515_31","NON_12",16318104
"77","S3531_19a","NON_01",20052367
"78","S5055_24","NON_06",56791371
"79","S5050_27","NON_09",56846374
"80","S5049_144","NON_15",6953608
